"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number"
0.550691938701829,0.428004984797474,0.667506548279501,0.55,0.447280188773936,0.649679770760328,100
0.494978276412532,0.422805271339208,0.567361174195892,0.495,0.423737050317077,0.566413345024988,200
0.499851576022071,0.439326197823051,0.56038130433199,0.5,0.441997720808016,0.558002279191984,300
0.502674451580913,0.452754667819712,0.552540973163943,0.5025,0.452389871228114,0.552572878411653,400
0.507964558278925,0.463497992933207,0.552305462765399,0.508,0.463243596260262,0.552661293513399,500
0.498279441976236,0.455564886692816,0.541019126053861,0.498333333333333,0.457585474397494,0.53909767118714,600
0.498552056367622,0.461196015720224,0.53592426868728,0.498571428571429,0.460890420357688,0.536264524330392,700
0.492499999999998,0.45794755137851,0.527124245924581,0.4925,0.457313643329893,0.527741810778264,800
0.485555555555555,0.453010970831669,0.51822309596074,0.485555555555556,0.452440620526804,0.518765319697703,900
0.487,0.456110155686852,0.517989466677171,0.487,0.455597992254128,0.518478746173579,1000
0.490909090909091,0.461432438588875,0.520449090738232,0.490909090909091,0.460969905352727,0.520897020725728,1100
0.492500000000001,0.464267609377153,0.5207803066438,0.4925,0.463844803228989,0.521192032755337,1200
0.488461538461538,0.461349714354737,0.515641419996626,0.488461538461538,0.460956621899007,0.516018732771169,1300
0.485714285714286,0.459596844818842,0.511909980721044,0.485714285714286,0.459230097525687,0.512258540776491,1400
0.483333333333333,0.45810851631802,0.508643370511914,0.483333333333333,0.457764746576866,0.508967292065302,1500
0.480625,0.456209938058373,0.505132947689824,0.480625,0.455886016893205,0.505435194537493,1600
0.478823529411765,0.455142371528017,0.502600247734719,0.478823529411765,0.454836678695318,0.502883602488033,1700
0.47388888888889,0.450894032404792,0.49699503625666,0.473888888888889,0.450602777381997,0.497260235865527,1800
0.47578728429082,0.453355123951503,0.498317572180597,0.475789473684211,0.453122462231786,0.498531328863928,1900
0.475940609757451,0.453746026162872,0.498230635215045,0.476,0.453911010447496,0.498159448498667,2000
0.481899788433499,0.460414004952669,0.503452714889831,0.481904761904762,0.460333636348782,0.503526464963439,2100
0.485450111806633,0.464506666882631,0.506444780874729,0.485454545454545,0.464374006465111,0.506573880307631,2200
0.487823161279137,0.467282469342046,0.508405061329646,0.487826086956522,0.467207257697325,0.508475966136853,2300
0.488335838216963,0.468224198477612,0.508485312729876,0.488333333333333,0.46815123237903,0.50854394309388,2400
0.489997303278629,0.47001788954078,0.510008723767587,0.49,0.470225720488868,0.509797732338337,2500
0.489615384615396,0.47042539100178,0.508836033888647,0.489615384615385,0.470229054989518,0.509025126890023,2600
0.489999866784233,0.471115601103237,0.508912716702469,0.49,0.47097832472098,0.509043380954001,2700
0.488214285714289,0.469724154192363,0.506736726381896,0.488214285714286,0.46954145584506,0.506911778477287,2800
0.485506122517185,0.467159372743485,0.503892017947586,0.48551724137931,0.467177040894332,0.5038866977639,2900
0.484327408902367,0.466130412548697,0.502566058621182,0.484333333333333,0.466306173804871,0.50239107961199,3000
0.48483377367368,0.467183669253595,0.502521791580632,0.484838709677419,0.467105851140268,0.502600208254647,3100
0.486858706250735,0.469149457640655,0.50460100995182,0.486875,0.46941961656315,0.504354397895979,3200
0.485754539890354,0.46834653149276,0.503197180518394,0.485757575757576,0.468572701673583,0.502967714998417,3300
0.481421261062631,0.463864409717832,0.499024110079247,0.481470588235294,0.464550568905918,0.498422505857283,3400
0.484241458129532,0.466794170805215,0.501727244565685,0.484285714285714,0.467605297987914,0.500992405693376,3500
0.485793581570532,0.468688436446435,0.502932071227817,0.485833333333333,0.469385078710402,0.502304614009803,3600
0.489143825729919,0.472113141953554,0.506199748898664,0.489189189189189,0.472960935013211,0.505434537590449,3700
0.487837640571279,0.471069504572971,0.504633195089039,0.487894736842105,0.471884887636744,0.503923220879268,3800
0.488159996504908,0.471656900071362,0.504688945053418,0.488205128205128,0.472402825155803,0.504025120416102,3900
0.487457720742349,0.471195548321801,0.503746488567821,0.4875,0.471898880039534,0.503119395690162,4000
0.48877889360804,0.472797411600453,0.504783347804269,0.488780487804878,0.473370244435867,0.504206732736339,4100
0.489982676707313,0.474187687248569,0.505797692663854,0.49,0.474773924200118,0.505239996863336,4200
0.490218615754763,0.474666653577995,0.50578953433611,0.490232558139535,0.475185467804054,0.505292928088015,4300
0.491587284346574,0.47628438571611,0.506905964329017,0.491590909090909,0.47671530057595,0.506477689381111,4400
