"probability_of_success_mixmod","CI_lb_mixmod","CI_ub_mixmod","probability_of_success_binom","CI_lb_binom","CI_ub_binom","trial_number"
0.529999999999948,0.432279725503234,0.625473067504238,0.53,0.427581484890045,0.630594835805605,100
0.514999999999995,0.445890862027251,0.583540215318693,0.515,0.443463635749216,0.586085170384956,200
0.496666666666667,0.440371213382684,0.55304676219343,0.496666666666667,0.43869886752792,0.554700932161512,300
0.479922165069682,0.430357060550758,0.529885685597025,0.48,0.430095862904842,0.530202147416457,400
0.481195503186962,0.433409483004955,0.529328025494802,0.482,0.437420836376088,0.526793164812282,500
0.479145171987592,0.436400276397649,0.522197631239156,0.48,0.439374441200419,0.520823309935201,600
0.491173431958233,0.452778952889313,0.529672319123576,0.491428571428571,0.453783055089631,0.529146613291233,700
0.488704646799438,0.453873953272476,0.523645368903112,0.48875,0.453582364949499,0.524000816480271,800
0.492222222222222,0.459639566966733,0.524871084666274,0.492222222222222,0.459075748885969,0.525419757061528,900
0.493,0.462079709918326,0.523973933083473,0.493,0.461572862754044,0.524468457733862,1000
0.493636363636364,0.464147737853677,0.523169332650653,0.493636363636364,0.463687380991719,0.523619467206704,1100
0.502456674566662,0.47344858434988,0.531448236077779,0.5025,0.473817422682549,0.531170298679136,1200
0.506101086437144,0.476449458684389,0.535709856304725,0.506153846153846,0.478603680491662,0.53367613044722,1300
0.50553630762711,0.477614693997086,0.533423430107745,0.505714285714286,0.479179084923225,0.53222545990004,1400
0.501854388918402,0.47509045127188,0.528607704122155,0.502,0.47638096940874,0.527611186026907,1500
0.499314418005282,0.473534357660743,0.525098124037641,0.499375,0.474583206957013,0.524169090157638,1600
0.496894209713976,0.470776976645747,0.523028402363427,0.497058823529412,0.473019561703973,0.521108254984448,1700
0.495423160613116,0.470465688875194,0.520403461530588,0.495555555555556,0.472203517400991,0.518922101577088,1800
0.495667251682405,0.471519125397531,0.519835608933845,0.495789473684211,0.473066007841403,0.518525955603794,1900
0.498502748073154,0.475210361279098,0.521801635235057,0.4985,0.476352854521367,0.520651549088284,2000
0.503766258055911,0.480798684484921,0.526717947824199,0.503809523809524,0.482194413220912,0.525413986598691,2100
0.508665836350608,0.486048255434485,0.531247997752054,0.508636363636364,0.487519190053521,0.529730502263901,2200
0.50698774357649,0.485025626138364,0.528922925379106,0.50695652173913,0.486309220700528,0.527586080014381,2300
0.510421467182542,0.488766851986904,0.532037041030284,0.510416666666667,0.490206480680351,0.530601398380633,2400
0.5062809436806,0.484982127392806,0.527556986470225,0.5064,0.486604176851608,0.52618081336239,2500
0.506728460369803,0.485256745578275,0.528175382905103,0.506538461538461,0.487130555102604,0.525931626701811,2600
0.50698902400295,0.486104185663056,0.527849498449933,0.507037037037037,0.487994969146225,0.526063830583593,2700
0.507430992597723,0.486980132731051,0.527857013807754,0.5075,0.48880393210399,0.526180373359675,2800
0.507600587569455,0.487630180918912,0.527546768082711,0.507586206896552,0.489218180136059,0.525938909195536,2900
0.509304895065293,0.489725934795956,0.528855351818766,0.509333333333333,0.49127610658838,0.527372338254326,3000
0.510656440986397,0.491598469436492,0.52968348484634,0.510645161290323,0.492883827564343,0.528386386107771,3100
0.505940835626353,0.486845757780207,0.525018597467804,0.5059375,0.488459933117466,0.523404203233509,3200
0.505490385465055,0.486918730997283,0.524046901106065,0.505454545454545,0.488246298173274,0.522653116756951,3300
